date,kms,total
2019-12-31,102.8,18020.6
2020-01-31,158.5,18179.10
2020-02-29,184.9,18364.00
2020-03-31,209.3,18573.30
2020-04-30,202.0,18775.30
2020-05-31,187.1,18962.40
2020-06-30,204.6,19167.00
2020-07-31,168.7,19335.70
2020-08-31,204.9,19540.60
2020-09-30,197.1,19737.70
2020-10-31,160.5,19898.20
2020-11-30,275.7,20173.90
2020-12-31,324.4,20498.30
2021-01-31,177.2,20675.50
2021-02-28,295.5,20971.00
2021-03-31,298.1,21269.10
2021-04-30,261.8,21530.90
2021-05-31,179.8,21710.70
2021-06-30,184.9,21895.60
2021-07-31,162.3,22057.90
